sentence,sentence_type
je veux partir de Martigny-les-B-Thiebaut pour Lichtenberg-(Eglise).,from_to
je veux partir de Vezin-Carrefour pour Rue,from_to
je veux partir de Sarreguemines pour Vic-le-Comte,from_to
je veux partir de Rue pour La Douzillère,from_to
je veux partir de Feurs pour Le Locle,from_to
je veux partir de Rang du Fl. Verton Ber. pour Rumilly,from_to
je veux partir de Bitche-Camp pour Digoin,from_to
je veux partir de Normandie pour Connerré-Beillé,from_to
je veux partir de Aiton-Salle-Polyvalente pour Vernon-Giverny,from_to
je veux partir de Pamiers pour Morez Lycée,from_to
je veux partir de Kédange (Eglise) pour Messac-Guipry,from_to
Je quitte St-Gervais-L-B-Le-Fayet pour Creil,from_to
Je quitte Morcenx pour Calais Fréthun,from_to
Je quitte La Brohinière pour Lison,from_to
Je quitte Le-Blanc-Pl-du-Bateau pour Granville,from_to
Je quitte Beauvais-Gare-SNCF pour Thann Arrêt La Poste,from_to
Je quitte Cernay-(Lycée) pour Faubourg-d'Orléans,from_to
Je quitte Lorient pour Corcieux Le Conti,from_to
Je quitte Oissel pour Berthelming-Mairie,from_to
Je quitte Rethel pour Dormans,from_to
Je quitte Nogent-sur-Seine pour Sélestat-(Schweisguth),from_to
Je quitte Maubeuge pour Neussargues,from_to
Je quitte Narbonne pour L'Aigle,from_to
Je quitte Bayonne pour Montbazon,from_to
Je quitte Loudrefing pour Agen,from_to
Je quitte Callac pour Montréjeau-Gourdan-Pol.,from_to
Je quitte Bouxwiller-Babenhausen pour Saverne-(Lycée-Verne),from_to
Je quitte Ettendorf-(Angle-Pont) pour St-Pierre-d'Albigny,from_to
Je quitte St-Vit pour Riom_Es_M_la_Poste.,from_to
Je quitte Rives pour Saverne-(Ht-Barr),from_to
Je quitte Hombourg (Chapelle) pour Monaco-Monte-Carlo,from_to
Je quitte Font-Romeu-Odeillo-Via pour Perl Gare DB,from_to
Je quitte St-Malo pour Vittel,from_to
Je quitte Albens pour Pamiers,from_to
Je quitte St-Sulpice-sur-Lèze pour Romorantin-Lycée-de-F,from_to
Je quitte Cormery pour Morcenx,from_to
Je quitte Vendôme pour Barr,from_to
Je quitte Creutzwald G.R. pour Mullheim-Baden-Bf,from_to
Je quitte Villefranche-sur-Saône pour Vezin-Carrefour,from_to
Je quitte Le-Verdon pour Aubigny-sur-Nere-Mail,from_to
Je quitte St-Yrieix-la-Perche pour Mende,from_to
Je quitte Le-Mont-Dore-Gare pour Jeumont,from_to
Je quitte L'Arbresle pour St-Dié-des-Vosges,from_to
Je quitte Clermont-de-l'Oise pour Mondoubleau-Rue-Leroy,from_to
Je quitte Port-de-Piles pour Gannat,from_to
Je quitte Thann pour Troyes,from_to
Je quitte Narbonne pour Monaco-Monte-Carlo,from_to
Je quitte St-Aignan-Pl-Wilson pour Laon-Gare-Routière-Poma,from_to
Je quitte Mauzé pour Comines (France),from_to
Je quitte Culmont-Chalindrey pour Routot-Place-de-mairie,from_to
Je quitte Laveline-d-Bruy. Mairie pour Juvancourt,from_to
Je quitte Marseille-Blancarde pour Janzé,from_to
Je quitte Langeac pour Gap,from_to
Je quitte Chamberry-Jacob pour Romorantin-Lycée-de-F,from_to
Je quitte Abancourt pour Laveline-d-Bruy. Mairie,from_to
Je quitte TOURS LYCEE GRANDMONT pour Dreux,from_to
Je quitte Castelnaudary pour St-Flour-Chaudes-Aigues,from_to
Je quitte Virieu-le-Grand-Belley pour Vitry-le-François,from_to
Je quitte Roanne-Gare-Routière pour Rennes,from_to
Je quitte Payns Abri Savières pour Wambrechies,from_to
Je quitte Liverdun pour Langeac,from_to
itinéraire de voyage de La Douzillère vers Château-du-Loir,from_to
itinéraire de voyage de Vierzon-Médiathèque vers Landau-Pfalz-Hbf,from_to
itinéraire de voyage de Thann vers Clamecy,from_to
itinéraire de voyage de Romans-Bourg-de-Péage vers Longwy,from_to
itinéraire de voyage de St-Emilion vers Franois,from_to
itinéraire de voyage de Decize vers La Bastide-St-Laurent,from_to
itinéraire de voyage de St-Florentin-Vergigny vers Castelsarrasin,from_to
itinéraire de voyage de Tassin vers Montbrison,from_to
itinéraire de voyage de Sèlestat-(Schwilgué) vers Routot-Place-de-mairie,from_to
itinéraire de voyage de St-Aignan-Lep vers St Quentin,from_to
itinéraire de voyage de Dunkerque vers Rouen-Rive-Droite,from_to
itinéraire de voyage de Colomiers vers Lorient,from_to
itinéraire de voyage de Sospel vers Nice-Ville,from_to
itinéraire de voyage de Bar-sur-Aube vers Mulhouse-Gare-Centrale,from_to
itinéraire de voyage de Saales vers Sérézin,from_to
itinéraire de voyage de Wesserling vers Riom_Es_M_la_Poste.,from_to
itinéraire de voyage de Alès vers Delémont,from_to
itinéraire de voyage de Sarre-Union vers Obermodern,from_to
itinéraire de voyage de Sedan-Place-Calonne vers Pessac,from_to
itinéraire de voyage de Sélestat vers Romilly-sur-Seine,from_to
itinéraire de voyage de Cosne-sur-Loire vers Gannat,from_to
itinéraire de voyage de Mirecourt vers Riquewihr-Poste,from_to
itinéraire de voyage de Montréjeau-Gourdan-Pol. vers Calais Fréthun,from_to
itinéraire de voyage de Bourg-en-Bresse vers La Chaise-Dieu,from_to
itinéraire de voyage de Vallon-en-Sully vers Quimperlé,from_to
itinéraire de voyage de Aulnoye Aymeries vers Tergnier,from_to
itinéraire de voyage de Marle-sur-Serre vers Sablé-sur-Sarthe,from_to
itinéraire de voyage de Romorantin-Lycée-de-F vers Vitry-le-François,from_to
itinéraire de voyage de Clamecy vers Rambervillers (11 Nov),from_to
itinéraire de voyage de St-Nazaire vers Bordeaux-St-Jean,from_to
itinéraire de voyage de Thesee vers La Douzillère,from_to
itinéraire de voyage de L'Aigle vers Biganos-Facture,from_to
itinéraire de voyage de Brignais vers Mussidan,from_to
itinéraire de voyage de Lyon-Perrache vers Bourges-Gare-Routière,from_to
itinéraire de voyage de Laon vers Oyonnax,from_to
itinéraire de voyage de Igney (Centre) vers Manosque-Gréoux,from_to
itinéraire de voyage de Marmande vers Bouzonville,from_to
itinéraire de voyage de Buzançais vers Creutzwald G.R.,from_to
itinéraire de voyage de Roeschwoog vers Lille Flandres,from_to
itinéraire de voyage de Châteaudun-LEP-Paulsen vers Lannion,from_to
itinéraire de voyage de Villedieu (Gare) vers St-Gilles-Croix-de-Vie,from_to
itinéraire de voyage de Contrexéville vers Morcenx,from_to
itinéraire de voyage de Calais Ville vers Pont-St-Vincent,from_to
itinéraire de voyage de Ste-Marie-/-Ms-Pl-.CdG vers Poitiers-Gare-Routière,from_to
itinéraire de voyage de Crépy-en-Valois vers Privas-Cours-du-Palais,from_to
itinéraire de voyage de Montbazon vers nan,from_to
itinéraire de voyage de Tende vers Communay-Stade,from_to
itinéraire de voyage de Ambérieu-en-Bugey vers Poligny,from_to
itinéraire de voyage de Eguzon vers Obernai,from_to
itinéraire de voyage de Jeumont vers Lorient,from_to
Quel est l'itinéraire entre Veynes-Dévoluy et Avallon,from_to
Quel est l'itinéraire entre Fécamp et Virieu-le-Grand-Belley,from_to
Quel est l'itinéraire entre Crépy-en-Valois et Rouen-Gare-Routière,from_to
Quel est l'itinéraire entre Langogne et Lutzelbourg,from_to
Quel est l'itinéraire entre Gérardmer La Mauselaine et Lyon-St-Paul,from_to
Quel est l'itinéraire entre Longuyon et Laroche-Migennes,from_to
Quel est l'itinéraire entre Modane et Mont-de-Marsan,from_to
Quel est l'itinéraire entre Bouxwiller-Babenhausen et Nouan-le-Fuzelier,from_to
Quel est l'itinéraire entre Montauban-de-Bretagne et Namur,from_to
Quel est l'itinéraire entre Briouze et Decize,from_to
Quel est l'itinéraire entre Champagne-Ardenne et Vernon-Giverny,from_to
Quel est l'itinéraire entre Prissé-la-Charrière et Neuilly-lès-Dijon,from_to
Quel est l'itinéraire entre Paimpol et Montreux-Vieux,from_to
Quel est l'itinéraire entre Nîmes et St-Sulpice-sur-Lèze,from_to
Quel est l'itinéraire entre Saverne et Erstein,from_to
Quel est l'itinéraire entre Sarlat et Chambéry-Chal.-les-Eaux,from_to
Quel est l'itinéraire entre St-Gervais-Mairie et Saverne-(Ht-Barr),from_to
Quel est l'itinéraire entre Callac et Lutterbach Tram-train,from_to
Quel est l'itinéraire entre Krimmeri-Meinau et Ancenis,from_to
Quel est l'itinéraire entre Roanne et Dourdan,from_to
Quel est l'itinéraire entre Lauterbourg et Cavaillon,from_to
Quel est l'itinéraire entre Aubagne et Delémont,from_to
Quel est l'itinéraire entre Tessonnières et Thann Arrêt La Poste,from_to
Quel est l'itinéraire entre Chambourg-Chopin et Sarre-Union,from_to
Quel est l'itinéraire entre Saverne-(Lycée-Verne) et Boulogne Ville,from_to
Quel est l'itinéraire entre Dourdan et Loudrefing,from_to
Quel est l'itinéraire entre Briouze et Sarrebourg (Place Math),from_to
Quel est l'itinéraire entre Genève et Hattmatt-S.-Polyvalente,from_to
Quel est l'itinéraire entre Is-sur-Tille et Maubeuge,from_to
Quel est l'itinéraire entre La-Rochelle-Pt-Dauphine et St-Lô,from_to
Quel est l'itinéraire entre Virieu-le-Grand-Belley et Bayonne,from_to
Quel est l'itinéraire entre Marvejols et Ville-sous-La-Ferté,from_to
Quel est l'itinéraire entre nan et Mazamet,from_to
Quel est l'itinéraire entre St-Nazaire et Lille Europe,from_to
Quel est l'itinéraire entre Vernon-Giverny et Montmélian,from_to
Quel est l'itinéraire entre Tournai et Cosne-sur-Loire,from_to
Quel est l'itinéraire entre Noirétable et Montluçon-Ville,from_to
Quel est l'itinéraire entre St-Dié-des-Vosges et Douai,from_to
Quel est l'itinéraire entre Martigny-les-B-Thiebaut et Massiac-Blesle,from_to
Quel est l'itinéraire entre Albert et Vallon-en-Sully,from_to
Quel est l'itinéraire entre Hyères et Namur,from_to
Quel est l'itinéraire entre Noirétable et Mondoubleau-Rue-Leroy,from_to
Quel est l'itinéraire entre Rang du Fl. Verton Ber. et Longuyon,from_to
Quel est l'itinéraire entre Epinal et Liepvre-(-R.-GUTH-),from_to
Quel est l'itinéraire entre Vitré et Audun-le-Roman,from_to
Quel est l'itinéraire entre Montreux-Vieux et Genève,from_to
Quel est l'itinéraire entre Laval et Royan,from_to
Quel est l'itinéraire entre Vertaizon et Bettembourg,from_to
Quel est l'itinéraire entre Bricon(la Poste) et Alençon,from_to
Quel est l'itinéraire entre Pont-Audemer-Gare-SNCF et Krimmeri-Meinau,from_to
Quel trajet pour Decize St-Aignan-Noyers,from_to
Quel trajet pour Vannes Thann Arrêt La Poste,from_to
Quel trajet pour Issoire Loudrefing,from_to
Quel trajet pour Bruyères Chanzy Gare Paris-Est,from_to
Quel trajet pour Saverne-(Ht-Barr) Ste-Marie-/-Ms-Pl-.CdG,from_to
Quel trajet pour St Pol sur Ternoise Guingamp,from_to
Quel trajet pour Meroux Tulle,from_to
Quel trajet pour Autun Messac-Guipry,from_to
Quel trajet pour La Bastide-St-Laurent Châlons-en-Champagne,from_to
Quel trajet pour Pont-de-Dore Grenoble,from_to
Quel trajet pour St-Lô Montereau,from_to
Quel trajet pour Luxembourg Abancourt,from_to
Quel trajet pour Wissembourg Luzy(Nièvre),from_to
Quel trajet pour Ste-Croix/Mines-Sq-de-G Bayel-Eglise,from_to
Quel trajet pour Metz-Ville Truyes-St-Blaise,from_to
Quel trajet pour Ancizes-St-Georges-Bour Evian-les-Bains,from_to
Quel trajet pour Rouen-Gare-Routière St-Jean-de-Maurienne-A.,from_to
Quel trajet pour Lure Romans-Bourg-de-Péage,from_to
Quel trajet pour Latour de Carol Sewen-(Eglise),from_to
Quel trajet pour Montélimar-G-Routière Miramas,from_to
Quel trajet pour Brioude-Lycée-Lafayette Paris-St-Lazare,from_to
Quel trajet pour Montargis-OT Diemeringen,from_to
Quel trajet pour La Rochelle-Ville Montbazon,from_to
Quel trajet pour Neuchâtel Perpignan,from_to
Quel trajet pour Hirson Besançon-Mouillère,from_to
Quel trajet pour Loudrefing Narbonne,from_to
Quel trajet pour Cherbourg Sospel,from_to
Quel trajet pour Herrlisheim (Bas-Rhin) Aubrais-(les),from_to
Quel trajet pour Toury St-Priest,from_to
Quel trajet pour St Christophe / Nais C. Landau-Pfalz-Hbf,from_to
Quel trajet pour St-Just-SNCF Sarreguemines,from_to
Quel trajet pour Truyes-St-Blaise Dourdan,from_to
Quel trajet pour Meymac Clermont-Ferrand,from_to
Quel trajet pour Châteaubriant St-Pierre-d'Albigny,from_to
Quel trajet pour Perpignan Rumilly,from_to
Quel trajet pour Morlaix Antibes,from_to
Quel trajet pour Touet-de-l'Escarène Nouan-le-Fuzelier,from_to
Quel trajet pour Blois-Chambord Le Dorat,from_to
Quel trajet pour St-Nazaire St-Aignan-Lep,from_to
Quel trajet pour Nexon Alençon,from_to
Quel trajet pour Sérézin Gien,from_to
Quel trajet pour Culoz St-Eloy-les-Mines-Lycée,from_to
Quel trajet pour Le Grau-du-Roi Vertaizon,from_to
Quel trajet pour Roanne-Gare-Routière Marseille-Blancarde,from_to
Quel trajet pour L'Aigle Martigues,from_to
Quel trajet pour Nevers Chantonnay,from_to
Quel trajet pour Thann Arrêt La Poste Sélestat-(Schweisguth),from_to
Quel trajet pour Carnoules Luneville-LP,from_to
Quel trajet pour Rennes Aubenas-Pl.-de-la-Paix,from_to
Quel trajet pour Marmande Plouaret-Trégor,from_to
Quel est l'itinéraire entre Mondoubleau-Rue-Leroy et Volvic,from_to
Quel est l'itinéraire entre Hirson et St-Aignan-Noyers,from_to
Quel est l'itinéraire entre Strasbourg et Corbigny,from_to
Quel est l'itinéraire entre Valence-Ville et Givors-Ville,from_to
Quel est l'itinéraire entre Sarrebourg (Place Math) et Le Puy-en-Velay,from_to
Quel est l'itinéraire entre Lutterbach Tram-train et Thann-Saint-Jacques,from_to
Quel est l'itinéraire entre Compiègne et La Chaux-de-Fonds,from_to
Quel est l'itinéraire entre Krimmeri-Meinau et Igney (Centre),from_to
Quel est l'itinéraire entre Martigues et Bordeaux-St-Jean,from_to
Quel est l'itinéraire entre Saintes et Vierzon,from_to
Quel est l'itinéraire entre Calais Ville et St-Louis-57-Incliné,from_to
Quel est l'itinéraire entre La Bresse Le Lispach et Modane,from_to
Quel est l'itinéraire entre Lons-le-Saunier et Bouxwiller-Schattenmann,from_to
Quel est l'itinéraire entre Bouzonville et Raedersheim,from_to
Quel est l'itinéraire entre Paris Gare du Nord et Sospel,from_to
Quel est l'itinéraire entre Pfaffenhoffen-(Mairie). et Dormans,from_to
Quel est l'itinéraire entre Bressuire et Offenburg,from_to
Quel est l'itinéraire entre Sèlestat-(Schwilgué) et Nouzonville,from_to
Quel est l'itinéraire entre Les Granges-Narboz et Cercy-la-Tour,from_to
Quel est l'itinéraire entre Châteauroux-Ly-B-Pascal et Forbach,from_to
Quel est l'itinéraire entre Tourcoing et Avignon-Centre,from_to
Quel est l'itinéraire entre Neufchateau-Lp et Pierrelatte,from_to
Quel est l'itinéraire entre Erstein et Aubagne,from_to
"Quel est l'itinéraire entre Albi-Ville et Ettendorf-Pl,-de-L'ecol",from_to
Quel est l'itinéraire entre Boussens et Vierzon-Médiathèque,from_to
Quel est l'itinéraire entre Pont-de-Dore et Lamure-sur-Azergues,from_to
Quel est l'itinéraire entre Martigny-les-B-Thiebaut et Champagne-Ardenne,from_to
Quel est l'itinéraire entre La Bresse Le Lispach et Oissel,from_to
Quel est l'itinéraire entre Mantes-la-Jolie et Forbach,from_to
Quel est l'itinéraire entre Bayel-Eglise et Toulouse-Matabiau,from_to
Quel est l'itinéraire entre Montbrison et Contrexéville,from_to
Quel est l'itinéraire entre Dreux et St Quentin,from_to
Quel est l'itinéraire entre Le-Blanc-Pl-du-Bateau et Romorantin-BA-G.R.,from_to
Quel est l'itinéraire entre Villefranche-Vernet-l.B et Vallorcine,from_to
Quel est l'itinéraire entre Libourne et Lunéville,from_to
Quel est l'itinéraire entre Roanne-Gare-Routière et Thesee,from_to
Quel est l'itinéraire entre Limeray et Herbitzheim R. Hambach,from_to
Quel est l'itinéraire entre Carpentras et Saint-Léonard Centre,from_to
Quel est l'itinéraire entre Ste-Croix/Mines-Sq-de-G et Ancizes-St-Georges-Bour,from_to
Quel est l'itinéraire entre Puyoô et Chalon-sur-Saône,from_to
Quel est l'itinéraire entre Rochefort et Colmar,from_to
Quel est l'itinéraire entre Sisteron et Avesnes,from_to
Quel est l'itinéraire entre Rolleville et Kehl,from_to
Quel est l'itinéraire entre Rives et Pamiers,from_to
Quel est l'itinéraire entre Veigné et St-Vit,from_to
Quel est l'itinéraire entre Cannes-la-Bocca et Albi-Ville,from_to
Quel est l'itinéraire entre Langogne et Gramat,from_to
Quel est l'itinéraire entre Issoudun-Place-de-la-G. et Narbonne,from_to
Quel est l'itinéraire entre Niort et Dourdan,from_to
Quel est l'itinéraire entre Saumur et Kehl,from_to
je viens de La Souterraine et je veux aller à St Christophe / Nais C.,from_to
je viens de Bordeaux-St-Jean et je veux aller à Lichtenberg-(Eglise).,from_to
je viens de Evreux et je veux aller à Jougne,from_to
je viens de Travers et je veux aller à Ste-Pazanne,from_to
je viens de Grenoble et je veux aller à Normandie,from_to
je viens de Herrlisheim (Bas-Rhin) et je veux aller à Elbeuf-St-Aubin,from_to
je viens de Vendeuvre (Aube) et je veux aller à St-Pierre-d'Albigny,from_to
je viens de Niort et je veux aller à St-Malo,from_to
je viens de Loudrefing et je veux aller à Trouville-Deauville,from_to
je viens de Mirecourt et je veux aller à Périgueux,from_to
je viens de Romorantin-BA-G.R. et je veux aller à Raedersheim,from_to
je viens de Lyon-Perrache-Gare-Rout et je veux aller à Pornic,from_to
je viens de Bléré-la-Croix et je veux aller à Lorient,from_to
je viens de Châlons-en-Champagne et je veux aller à Caen,from_to
je viens de Vienne et je veux aller à Thann,from_to
je viens de Herbitzheim R. Hambach et je veux aller à Nort-sur-Erdre,from_to
je viens de St-Flour-Chaudes-Aigues et je veux aller à Modane,from_to
je viens de Issoudun et je veux aller à Pont-de-Dore,from_to
je viens de Clion-sur-Indre et je veux aller à Franois,from_to
je viens de Port-de-Piles et je veux aller à Oyonnax,from_to
je viens de St Quentin et je veux aller à Pessac,from_to
je viens de Lugny et je veux aller à Issoire-Lycée-Deville,from_to
je viens de Sarrebourg-Abri-Phalsbo et je veux aller à Sarlat,from_to
je viens de Bourges-Gare-Routière et je veux aller à Toury,from_to
je viens de Laroche-Migennes et je veux aller à Montchanin,from_to
je viens de Villedieu (Gare) et je veux aller à Reipertswiller-SP.,from_to
je viens de Decize et je veux aller à Moûtiers-Salins-Brides,from_to
je viens de Berthelming-Mairie et je veux aller à Verdun,from_to
je viens de Damblain Eglise et je veux aller à Lille Europe,from_to
je viens de Tourcoing et je veux aller à Orléans,from_to
je viens de St-Martin-d'Hères et je veux aller à Luchon,from_to
je viens de Lauterbourg et je veux aller à Pontorson-Mt-St-Michel,from_to
je viens de La Douzillère et je veux aller à Vezin-Carrefour,from_to
je viens de Le Croisic et je veux aller à St-Flour-les-Allées,from_to
je viens de Château-Renault et je veux aller à Chinon-Lycée-Rabelais,from_to
je viens de Annonay-Gare-Route et je veux aller à Morez Lycée,from_to
je viens de St-Chély-d'Apcher et je veux aller à Rosporden,from_to
je viens de Droué (Centre) et je veux aller à Chaumont,from_to
je viens de Les Granges-Narboz et je veux aller à Pau,from_to
je viens de Boussens et je veux aller à St-Jean-de-Bassel-Eglis,from_to
je viens de Prissé-la-Charrière et je veux aller à Poligny,from_to
je viens de Vif et je veux aller à Vendeuvre (Aube),from_to
je viens de Cambo-les-Bains et je veux aller à Coppet,from_to
je viens de Namur et je veux aller à Evian-les-Bains,from_to
je viens de Mondoubleau-Rue-Leroy et je veux aller à Arras,from_to
je viens de Brou et je veux aller à Luneville-LP,from_to
je viens de Hombourg (Chapelle) et je veux aller à Auch,from_to
je viens de Ussel et je veux aller à St-Nazaire,from_to
je viens de Reipertswiller-SP. et je veux aller à Brioude,from_to
je viens de Montreux-Vieux et je veux aller à Pompadour,from_to
trajet Châteauroux Gare Rout. WOERTH RHEIN,from_to
trajet Sisteron Seurre,from_to
trajet Nouan-le-Fuzelier Lugny,from_to
trajet Jeumont Aubenas-Pl.-de-la-Paix,from_to
trajet Boën Vendeuvre (Aube),from_to
trajet Mâcon-Loché-TGV Tarbes,from_to
trajet Chagny Eguzon,from_to
trajet Châteauroux-Lycée-Agric Vorey,from_to
trajet Laqueuille Mirecourt,from_to
trajet Ancizes-St-Georges-Bour Barr,from_to
trajet Le Grau-du-Roi Culoz,from_to
trajet Thann-Saint-Jacques Nîmes,from_to
trajet Mussidan Vierzon-Médiathèque,from_to
trajet Annecy Sarlat,from_to
trajet Niedermodern/Uberach Montbazon,from_to
trajet Cannes Château-Renault,from_to
trajet Meroux Les Arcs-Draguignan,from_to
trajet Bitche-Quartier-Driant Sablé-sur-Sarthe,from_to
trajet Aubagne Oloron-Ste-Marie,from_to
trajet Royan Aubrais-(les),from_to
trajet Ventimiglia-Stazione Igney (Centre),from_to
trajet Bening Saint-Léonard Centre,from_to
trajet Lutterbach Tram-train Commentry,from_to
trajet Le-Verdon Avignon-TGV,from_to
trajet Bitche-Quartier-Driant Lyon-St-Paul,from_to
trajet Angers-St-Laud Sucé-Sur-Erdre,from_to
trajet Issoudun Pont-Audemer-Gare-SNCF,from_to
trajet Moulins-sur-Allier Angoulême,from_to
trajet Revigny Lure,from_to
trajet Pagny-sur-Moselle Flers,from_to
trajet Vertaizon Pontorson-Mt-St-Michel,from_to
trajet Génolhac Herbitzheim R. Hambach,from_to
trajet Latour-de-Carol-Enveitg Lourdes,from_to
trajet Béziers Evian-les-Bains,from_to
trajet Toul Ancizes-St-Georges-Bour,from_to
trajet Reignac St-Emilion,from_to
trajet Bort-les-Orgues Courtrai/Kortrijk,from_to
trajet Sélestat Saint-Léonard Centre,from_to
trajet St-Jean-de-Maurienne-A. Vierzon-Médiathèque,from_to
trajet Liepvre-(-R.-GUTH-) Mazamet,from_to
trajet Grenoble-Gare-Routière Morlaix,from_to
trajet La Bastide-St-Laurent Neuilly-lès-Dijon,from_to
trajet Nouan-le-Fuzelier Seurre,from_to
trajet Mantes-la-Jolie Sathonay-Rillieux,from_to
trajet Objat Nice-Ville,from_to
trajet Niederbronn Vertaizon,from_to
trajet Tessonnières Grenoble-Gare-Routière,from_to
trajet Ventimiglia-Stazione Guéret,from_to
trajet Mâcon-Ville Bresse-Claudel (la),from_to
trajet La Forest Berthelming-Mairie,from_to
itinéraire Châteaudun-LEP-Paulsen Annecy,from_to
itinéraire Bédarieux Trouville-Deauville,from_to
itinéraire Millau Sucé-Sur-Erdre,from_to
itinéraire St-Gervais-Ch-LPA. Cerbère,from_to
itinéraire Calais Ville St-Florentin-Vergigny,from_to
itinéraire Callac Thann,from_to
itinéraire Alençon Cambo-les-Bains,from_to
itinéraire Arvant Ussel,from_to
itinéraire Vallorcine Janzé,from_to
itinéraire Saint-Claude Lichtenberg-(Eglise).,from_to
itinéraire Pauillac Sarrebourg,from_to
itinéraire Kehl Langogne,from_to
itinéraire Nevers Paray-le-Monial,from_to
itinéraire Cluses (Hte-Savoie) Rambervillers,from_to
itinéraire Conflans-Jarny St-Aignan-Pl-Wilson,from_to
itinéraire Thiers Sens,from_to
itinéraire St-Gilles-Croix-de-Vie Château-du-Loir,from_to
itinéraire Grenoble U.-Gières Ambérieu-en-Bugey,from_to
itinéraire Perl Gare DB Epernay,from_to
itinéraire Chatillon-Mail Ste-Marie/-Ms-(-Théâtre,from_to
itinéraire Capdenac Morcenx,from_to
itinéraire Cernay (Haut-Rhin) Ancenis,from_to
itinéraire Paray-le-Monial Vendôme,from_to
itinéraire Moulins-sur-Allier Connerré-Beillé,from_to
itinéraire Laissac-Foirail Bagnoles- Orne Egl.Mad.,from_to
itinéraire La Roche-sur-Yon Clelles-Mairie,from_to
itinéraire Loches-Lycee-St-Denis Vendôme,from_to
itinéraire Thonon-les-Bains Coutras,from_to
itinéraire Bourg-St-Maurice Trier-Hbf (Trèves),from_to
itinéraire Veigné Faubourg-d'Orléans,from_to
itinéraire Romans-Bourg-de-Péage Montmédy,from_to
itinéraire Valence-TGV Châteaubriant,from_to
itinéraire La Bastide-St-Laurent St-Florentin-Vergigny,from_to
itinéraire Bar-le-Duc Clamecy,from_to
itinéraire Lunéville Bouxwiller-Schattenmann,from_to
itinéraire Bagnoles- Orne Egl.Mad. Loches-LEP,from_to
itinéraire Bourgoin-Jallieu Conflans-Jarny,from_to
itinéraire Herbitzheim Mairie Limoges-Bénédictins,from_to
itinéraire Châteauroux-L-Giraudoux Eguzon,from_to
itinéraire Sélestat-(Schweisguth) Besançon-Mouillère,from_to
itinéraire St-Yrieix-la-Perche Pessac,from_to
itinéraire Paris-Austerlitz Rosporden,from_to
itinéraire Vézelise Beauregard St-Gervais-Mairie,from_to
itinéraire Aubigny-sur-Nere-Mail Montmédy,from_to
itinéraire Romorantin-BA-G.R. Grenoble U.-Gières,from_to
itinéraire Lièpvre-(Rte-Vancelle) Belfort-Ville,from_to
itinéraire Reipertswiller-SP. Boën,from_to
itinéraire Longwy Neufchateau-Lp,from_to
itinéraire Morcenx Saverne,from_to
itinéraire St-Etienne-Châteaucreux Chamonix-Mont-Blanc,from_to
le départ et l'arrivée de mon voyage sont respectivement La Bresse Le Lispach et Redon,from_to
le départ et l'arrivée de mon voyage sont respectivement Lyon-Part-Dieu et Carpentras,from_to
le départ et l'arrivée de mon voyage sont respectivement Verdun et Carnoules,from_to
